Row;DateTime;Farm;Device;RobotHWversion;RobotSoftwareVersion;Major;Minor;Severity
238;2021-06-27 23:13;S02.Sweden.VMS test.Torp.vmscontroler;MS3;V2007;18.4_rc2;5;123;4
248;2021-06-28 01:25;S02.Sweden.VMS test.Torp.vmscontroler;MS3;V2007;18.4_rc2;1;200;5
252;2021-06-28 01:48;S02.Sweden.VMS test.Torp.vmscontroler;MS5;V2018_2;8.2.9_2021jan26-1;2;405;4
254;2021-06-28 01:59;S02.Sweden.VMS test.Torp.vmscontroler;MS5;V2018_2;8.2.9_2021jan26-1;2;405;4
256;2021-06-28 02:01;S02.Sweden.VMS test.Torp.vmscontroler;MS5;V2018_2;8.2.9_2021jan26-1;1;315;4
296;2021-06-28 07:05;S02.Sweden.VMS test.Torp.vmscontroler;MS2;V2007;18.4_rc2;1;15;5
299;2021-06-28 07:13;S02.Sweden.VMS test.Torp.vmscontroler;MS2;V2007;18.4_rc2;1;15;5
301;2021-06-28 07:25;S02.Sweden.VMS test.Torp.vmscontroler;MS2;V2007;18.4_rc2;1;15;5
304;2021-06-28 07:31;S02.Sweden.VMS test.Torp.vmscontroler;MS2;V2007;18.4_rc2;1;15;5
319;2021-06-28 08:21;S02.Sweden.VMS test.Torp.vmscontroler;MS3;V2007;18.4_rc2;1;15;5
324;2021-06-28 08:30;S02.Sweden.VMS test.Torp.vmscontroler;MS3;V2007;18.4_rc2;1;15;5
329;2021-06-28 08:50;S02.Sweden.VMS test.Torp.vmscontroler;MS3;V2007;18.4_rc2;1;15;5
331;2021-06-28 08:56;S02.Sweden.VMS test.Torp.vmscontroler;MS5;V2018_2;8.2.9_2021jan26-1;1;15;5
333;2021-06-28 08:59;S02.Sweden.VMS test.Torp.vmscontroler;MS3;V2007;18.4_rc2;1;15;5
346;2021-06-28 10:10;S02.Sweden.VMS test.Torp.vmscontroler;MS3;V2007;18.4_rc2;1;15;5
359;2021-06-28 11:06;S02.Sweden.VMS test.Torp.vmscontroler;MS3;V2007;18.4_rc2;1;15;5
